epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1155.08,1.65331,2.8261,1.45731,0.43466,0.54009,0.46707,0.23112,1.6395,2.28272,1.5154,0.0099974,0.00333247,0.0099974,0.00333247,0.0099974,0.00333247,0.0099974,0.00333247
2,2154.11,1.63882,2.06485,1.42955,0.58117,0.53127,0.51209,0.25899,1.67463,1.96487,1.53412,0.0196015,0.00653382,0.0196015,0.00653382,0.0196015,0.00653382,0.0196015,0.00653382
3,3111.51,1.6928,1.90248,1.46394,0.50831,0.5474,0.49928,0.24641,1.67526,1.83548,1.55803,0.0288095,0.00960317,0.0288095,0.00960317,0.0288095,0.00960317,0.0288095,0.00960317
4,4025.29,1.6893,1.81147,1.48033,0.59246,0.56624,0.56692,0.29409,1.64065,1.65313,1.51559,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4941.47,1.62846,1.64872,1.43307,0.61662,0.60688,0.59688,0.3157,1.57965,1.47155,1.46816,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5861.34,1.59214,1.56687,1.40729,0.65877,0.64177,0.62594,0.34413,1.5223,1.36991,1.42715,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6804.31,1.55742,1.48438,1.38441,0.68112,0.64516,0.64312,0.36171,1.49891,1.31752,1.40708,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7740.02,1.54104,1.436,1.3701,0.67076,0.67218,0.66142,0.37969,1.4719,1.31612,1.37687,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8673.5,1.52484,1.40214,1.36068,0.69918,0.67359,0.67364,0.38872,1.45345,1.22773,1.36112,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9591.09,1.50927,1.36578,1.3498,0.71538,0.68718,0.68528,0.40499,1.43764,1.18671,1.34713,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,10517.7,1.4903,1.32946,1.33362,0.70385,0.70128,0.69539,0.41152,1.42352,1.21047,1.33546,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,11459.8,1.48909,1.31743,1.33253,0.66228,0.70733,0.70253,0.42011,1.40938,1.16391,1.32772,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
